Entity,Year,Lamm,Rind,Schwein,Geflügel,Total
World,1961,6031653,28753818,24747224,8949137,68481832
World,1962,6166268,30305868,26054582,9205251,71731969
World,1963,6162828,31974288,28015516,9748941,75901573
World,1964,6157508,32435324,28676888,10140986,77410706
World,1965,6211627,33038840,31283532,10961518,81495517
World,1966,6317169,34752396,32411002,11682241,85162808
World,1967,6493013,36495388,33863370,12383672,89235443
World,1968,6671856,38225930,34401156,12782528,92081470
World,1969,6649270,39209370,34120532,13732066,93711238
World,1970,6830058,39659628,35795116,15095310,97380112
World,1971,6960756,39411132,39416756,15731479,101520123
World,1972,7017303,39896764,40622812,16832392,104369271
World,1973,6784284,40258480,40469910,17621272,105133946
World,1974,6561177,43309924,42429880,18296732,110597713
World,1975,6790944,45196650,41669904,18673798,112331296
World,1976,6819265,47580860,40750548,20025390,115176063
World,1977,6883543,47985116,42947830,21229728,119046217
World,1978,7043218,48512640,45641544,22703782,123901184
World,1979,7043186,47356360,50083910,24556796,129040252
World,1980,7340494,47171850,52674296,25946188,133132828
World,1981,7620414,47633404,52990024,27509134,135752976
World,1982,7711081,47726580,53195932,28461798,137095391
World,1983,7992337,48998530,55477120,29199414,141667401
World,1984,8070985,50394056,57486620,29773992,145725653
World,1985,8247695,51302796,59965524,31180426,150696441
World,1986,8334672,53085376,60720810,33320380,155461238
World,1987,8649091,53047870,63422510,35963730,161083201
World,1988,9052103,53541908,66895240,37727576,167216827
World,1989,9379830,53764810,67974104,38665270,169784014
World,1990,9698876,55295310,69699160,40996812,175690158
World,1991,9607269,56462576,70748350,43784252,180602447
World,1992,9711829,55677910,72876040,45992028,184257807
World,1993,9817046,54601924,75269410,48933436,188621816
World,1994,10028340,54678690,78757310,51728920,195193260
World,1995,10237930,55586370,83400150,55306772,204531222
World,1996,9940390,56369404,78748130,57198172,202256096
World,1997,10309631,57746184,82653784,60809884,211519483
World,1998,10782800,57598004,88238070,63353350,219972224
World,1999,11009594,59143730,90200660,66084776,226438760
World,2000,11286176,59604440,89248824,68656376,228795816
World,2001,11541899,59381000,90132776,71291180,232346855
World,2002,11556214,60653616,92453040,74554240,239217110
World,2003,11886959,61653484,94911740,76096600,244548783
World,2004,12224151,63456868,95871464,78619520,250172003
World,2005,12641455,63930910,98180110,81411510,256163985
World,2006,12880232,65555890,100035490,83473640,261945252
World,2007,13381003,67453020,98685070,88508180,268027273
World,2008,13383048,67835790,102839230,92718350,276776418
World,2009,13492867,68557656,105286030,94785544,282122097
World,2010,13534285,68768510,108171490,99317480,289791765
World,2011,13602644,68766130,108807600,103365464,294541838
World,2012,13698514,69379540,112296770,107243170,302617994
World,2013,14059660,70676984,114252420,110293096,309282160
World,2014,14429260,71188770,116348510,113399660,315366200
World,2015,14915738,70859730,118609150,117581060,321965678
World,2016,15183240,71173440,117895880,120733784,324986344
World,2017,15376157,72610344,118806240,124705064,331497805
World,2018,15526263,74484904,119073656,128275730,337360553
World,2019,15776162,76488910,108184120,133801560,334250752
World,2020,16105015,75877000,108252150,137029230,337263395
World,2021,16357614,76768270,120372130,137979970,351477984